X;Y;FECHA;DIRECCION;DIRECCION_NORMALIZADA;M2TOTAL;PRECIOARS;PRECIOARSM;PRECIOUSD;PRECIOUSDM;CAMBIO;AMBIENTES;DORMITORIO;BAÑOS;URL;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58.38332525573807;-34.60925713424135;01/02/2018;AVENIDA DE MAYO 1200;DE MAYO AV. 1200;20;868500;43425;45000;2250;0.00;0;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43047804.HTML;MONSERRAT;COMUNA 01;1085;C1085ABO
;;01/02/2018;CARLOS GARDEL 3100;;198;7334000;46060;380000;2303;20.00;0;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43054864.HTML;;;;
-58.40123520662399;-34.61449952654337;02/02/2018;AV. BELGRANO 2500;BELGRANO AV. 2500;610;16405000;27860;850000;1393;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43056953.HTML;BALVANERA;COMUNA 03;1096;C1096AAO
-58.39608930742903;-34.61461981972598;05/02/2018;RINCON  444;RINCON 444;50;1505400;31200;78000;1560;20.00;1;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43062225.HTML;BALVANERA;COMUNA 03;1081;C1081ABJ
-58.39501431872996;-34.61824166891649;06/02/2018;AV. INDEPENDENCIA 2029;INDEPENDENCIA AV. 2029;236;7720000;33880;400000;1694;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43066654.HTML;BALVANERA;COMUNA 03;1225;C1225AAC
-58.40870760844984;-34.61023478311864;06/02/2018;RIVADAVIA 3000;RIVADAVIA AV. 3000;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43066793.HTML;BALVANERA;COMUNA 03;1203;C1203AAO
-58.39166783845851;-34.61256244583086;07/02/2018;ENTRE RIOS 300;ENTRE RIOS AV. 300;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43069374.HTML;MONSERRAT;COMUNA 01;1079;C1079ABP
-58.391601220796986;-34.618062469981446;07/02/2018;ENTRE RIOS 800;ENTRE RIOS AV. 800;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43069511.HTML;MONSERRAT;COMUNA 01;1080;C1080ABO
-58.39158729174378;-34.61480510663598;09/02/2018;ENTRE RIOS 500;ENTRE RIOS AV. 500;40;3377500;87500;175000;4375;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43073213.HTML;MONSERRAT;COMUNA 01;1079;C1079ABR
-58.40870760844984;-34.61023478311864;09/02/2018;RIVADAVIA 3000;RIVADAVIA AV. 3000;40;3377500;87500;175000;4375;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43073462.HTML;BALVANERA;COMUNA 03;1203;C1203AAO
-58.405570429112174;-34.60494594347104;14/02/2018;AVENIDA PUEYRREDON 462;PUEYRREDON AV. 462;20;887800;46000;46000;2300;20.00;1;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43080294.HTML;BALVANERA;COMUNA 03;1032;C1032ABR
-58.406620528661534;-34.60070935323022;21/02/2018;VIAMONTE 2899;VIAMONTE 2899;33;2895000;90900;150000;4545;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43095661.HTML;BALVANERA;COMUNA 03;1213;C1213ACC
