LON;LAT;FECHA;CALLE;NUMERO;M2;DOLARES;PESOS;U_S_M2;Z_M2;BARRIOS;COMUNA
-58.458687189199544;-34.556334111314008;2012/12/17;ROOSEVELT FRANKLIN D.;2200;329.0;1600000;;4863.2;0.0;BELGRANO;13
-58.459609031146456;-34.55685951925642;2012/12/10;ROOSEVELT FRANKLIN D.;2300;209.0;0;3900000;3816.0;18660.3;BELGRANO;13
-58.472319134670663;-34.564478214155862;2012/12/17;ROOSEVELT FRANKLIN D.;3600;1380.0;1080000;;782.6;0.0;COGHLAN;12
-58.491510999208543;-34.576174102719627;2012/12/13;ROOSEVELT FRANKLIN D.;5500;288.0;504000;;1750.0;0.0;VILLA URQUIZA;12
-58.492602662881509;-34.576773087413159;2012/12/13;ROOSEVELT FRANKLIN D.;5600;263.0;475000;;1806.1;0.0;VILLA URQUIZA;12
-58.469517854497653;-34.581730141680637;2012/12/17;ROSETI;2000;387.0;420000;;1085.3;0.0;VILLA ORTUZAR;15
-58.475507346685127;-34.680395318546687;2012/12/17;RUCCI, JOSE IGNACIO;4400;560.0;250000;;446.4;0.0;VILLA LUGANO;8
-58.473838050073738;-34.545484494454485;2012/12/13;RUIZ HUIDOBRO;2600;375.0;450000;;1200.0;0.0;SAAVEDRA;12
-58.477826248602639;-34.5468066072334;2012/12/13;RUIZ HUIDOBRO;3000;380.0;650000;;1710.5;0.0;SAAVEDRA;12
-58.492846478365237;-34.554449799318824;2012/12/13;RUIZ HUIDOBRO;4600;587.0;1600000;;2725.7;0.0;SAAVEDRA;12
-58.428726646240015;-34.587828126925181;2012/12/14;RUSSEL;5000;195.0;600000;;3076.9;0.0;PALERMO;14
-58.402526311841051;-34.616720561422859;2012/12/04;SAAVEDRA;600;1360.0;350000;;257.4;0.0;BALVANERA;3
-58.387158852182722;-34.619925156563184;2012/12/17;SAENZ PENA, LUIS, PRES.;1000;514.0;250000;;486.4;0.0;CONSTITUCION;1
-58.387158852182722;-34.619925156563184;2012/12/11;SAENZ PENA, LUIS, PRES.;1000;1365.0;650000;;476.2;0.0;CONSTITUCION;1
-58.411424303153119;-34.633098253411454;2012/12/10;SALCEDO;3300;348.0;320000;;919.5;0.0;PARQUE PATRICIOS;4
-58.412947328553862;-34.633458009773307;2012/12/10;SALCEDO;3400;414.0;280000;;676.3;0.0;BOEDO;5
-58.418031334970067;-34.591553661599548;2012/12/14;SALGUERO, JERONIMO;1600;206.0;950000;;4611.7;0.0;PALERMO;14
-58.409901646170873;-34.581015811905971;2012/10/11;SALGUERO, JERONIMO;5600;206.0;950000;;4611.7;0.0;PALERMO;14
-58.382844197957446;-34.645860787473012;2012/12/17;SALOM;300;390.0;190000;;487.2;0.0;BARRACAS;4
-58.382904938596347;-34.615358996218141;2012/12/11;SALTA;600;217.0;390000;;1797.2;0.0;MONSERRAT;1
-58.382805744442933;-34.620973614319333;2012/12/11;SALTA;1100;600.0;720000;;1200.0;0.0;CONSTITUCION;1
-58.382586807624946;-34.629042077340785;2012/12/11;SALTA;1800;240.0;200000;;833.3;0.0;CONSTITUCION;1
-58.362709201287515;-34.643492833663409;2012/12/10;SALVADORES, CNEL.;900;576.0;0;1500000;532.6;2604.2;BOCA;4
-58.467398780385459;-34.60462935595622;2012/12/17;SAN BLAS;1800;243.0;265000;;1090.5;0.0;VILLA GRAL. MITRE;11
-58.481301443349928;-34.611514429280312;2012/12/13;SAN BLAS;2900;350.0;490000;;1400.0;0.0;VILLA SANTA RITA;11
-58.482593462871314;-34.612193676868245;2012/12/13;SAN BLAS;3000;70.0;135000;;1928.6;0.0;VILLA SANTA RITA;11
-58.490692202647722;-34.617044114043537;2012/12/13;SAN BLAS;3700;225.0;220000;;977.8;0.0;VILLA SANTA RITA;11
-58.496981227570807;-34.622304324100455;2012/12/10;SAN BLAS;4400;136.0;165000;;1213.2;0.0;FLORESTA;10
-58.502190326489632;-34.624633558597779;2012/12/11;SAN BLAS;4800;121.0;260000;;2148.8;0.0;VELEZ SARSFIELD;10
-58.386061398674379;-34.609943661229295;2012/10/11;SAN JOSE;100;245.0;550000;;2244.9;0.0;MONSERRAT;1
-58.385670410109597;-34.619845207216258;2012/12/17;SAN JOSE;1000;225.0;390000;;1733.3;0.0;CONSTITUCION;1
-58.437289071051588;-34.627208548703443;2012/12/14;SAN JOSE DE CALASANZ;700;237.0;550000;;2320.7;0.0;CABALLITO;6
-58.380986535256994;-34.622288632445105;2012/10/11;SAN JUAN;1100;817.0;2000000;;2448.0;0.0;CONSTITUCION;1
-58.385792609157271;-34.622527445049514;2012/12/11;SAN JUAN;1400;160.0;0;2400000;3067.5;15000.0;CONSTITUCION;1
-58.396320682652984;-34.623194885977121;2012/12/04;SAN JUAN;2200;1235.0;650000;;526.3;0.0;SAN CRISTOBAL;3
-58.400391934478208;-34.623698732731896;2012/12/17;SAN JUAN;2500;584.0;1400000;;2397.3;0.0;SAN CRISTOBAL;3
