X;Y;CALLE;NUMERO;M2;DOLARES;U_S_M2;FOT;COTIZ;BARRIO;COMUNA;DIRECCION NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-34.61967189245708;-58.50291717623314;ALCARAZ;4700;225;305000;1355.6;3.5;14.5;MONTE CASTRO;COMUNA 10;ALCARAZ 4700;1407;C1407GIJ
-34.621484309574164;-58.506718927363146;ALCARAZ;5000;80;110000;1375;3.5;14.5;MONTE CASTRO;COMUNA 10;ALCARAZ 5000;1407;C1407GIR
-34.6312872062965;-58.51707061818738;ALCARAZ;6100;188;215000;1143.6;1.2;14.5;VERSALLES;COMUNA 10;ALCARAZ 6100;1408;C1408CFF
-34.64086600801884;-58.41234550586117;ALMAFUERTE AV.;200;1335;2500000;1872.7;3;14.5;PARQUE PATRICIOS;COMUNA 4;ALMAFUERTE AV. 200;1437;C1437JLO
-34.61120336308152;-58.38734950768342;ALSINA, ADOLFO;1500;619;900000;1454;3;14.5;MONSERRAT;COMUNA 1;ALSINA, ADOLFO 1500;1088;C1088AAL
-34.613043441850124;-58.41134515072037;ALSINA, ADOLFO;3200;393;480000;1221.4;3;14.5;BALVANERA;COMUNA 3;ALSINA, ADOLFO 3200;1207;C1207AAH
-34.569186054762234;-58.49719571320433;ALTOLAGUIRRE;3300;457;430000;940.9;1.6;14.5;VILLA URQUIZA;COMUNA 12;ALTOLAGUIRRE 3300;1431;C1431EDR
-34.60594352321623;-58.47494055736364;ALVAREZ JONTE;2300;159;299000;1880.5;1.6;14.5;VILLA GRAL. MITRE;COMUNA 11;ALVAREZ JONTE 2300;1416;C1416EXU
-34.60814410002682;-58.48028515424579;ALVAREZ JONTE AV.;2700;219;495000;2260.3;0;14.5;VILLA GRAL. MITRE;COMUNA 11;ALVAREZ JONTE AV. 2700;1416;C1416EXY
-34.60999866282477;-58.48785874967669;ALVAREZ JONTE AV.;3200;233;295000;1266.1;2.5;14.5;VILLA SANTA RITA;COMUNA 11;ALVAREZ JONTE AV. 3200;1416;C1416EYQ
-34.61389421721969;-58.494532327671195;ALVAREZ JONTE AV.;3800;3000;4000000;1333.3;3;14.5;VILLA DEL PARQUE;COMUNA 11;ALVAREZ JONTE AV. 3800;1407;C1407GOR
-34.62121645018437;-58.45606927886565;ALVAREZ, DONATO, TTE. GRAL.;400;377;1230000;3262.6;5.2;14.5;FLORES;COMUNA 7;ALVAREZ, DONATO, TTE. GRAL. 400;1406;C1406BOO
-34.604596990987545;-58.46415525504899;ALVAREZ, DONATO, TTE. GRAL. AV.;2000;1000;310000;310;0;14.5;VILLA GRAL. MITRE;COMUNA 11;ALVAREZ, DONATO, TTE. GRAL. AV. 2000;1416;C1416BTV
-34.59798323460222;-58.432041501725486;ALVAREZ, JULIAN;800;210;390000;1857.1;3.5;14.5;VILLA CRESPO;COMUNA 15;ALVAREZ, JULIAN 800;1414;C1414DRP
-34.5935254434061;-58.42532340312949;ALVAREZ, JULIAN;1400;216;380000;1759.3;0;14.5;PALERMO;COMUNA 14;ALVAREZ, JULIAN 1400;1414;C1414DSB
-34.5935254434061;-58.42532340312949;ALVAREZ, JULIAN;1400;225;300000;1333.3;1.6;14.5;PALERMO;COMUNA 14;ALVAREZ, JULIAN 1400;1414;C1414DSB
-34.579048960425474;-58.45585921958257;ALVAREZ THOMAS AV.;1000;710;2600000;3662;0;14.5;CHACARITA;COMUNA 15;ALVAREZ THOMAS AV. 1000;1427;C1427CCW
-34.578486651165306;-58.45843578997284;ALVAREZ THOMAS AV.;1200;237;990000;4177.2;0;14.5;CHACARITA;COMUNA 15;ALVAREZ THOMAS AV. 1200;1427;C1427CCY
-34.57504904102921;-58.478682193959266;ALVAREZ THOMAS AV.;2700;299;350000;1170.6;0;14.5;VILLA URQUIZA;COMUNA 12;ALVAREZ THOMAS AV. 2700;1431;C1431FOQ
-34.57360292383256;-58.4806410071555;ALVAREZ THOMAS AV.;2900;250;900000;3600;5.2;14.5;VILLA URQUIZA;COMUNA 12;ALVAREZ THOMAS AV. 2900;1431;C1431FOS
-34.57219000440617;-58.48247739734001;ALVAREZ THOMAS AV.;3100;1300;4700000;3615.4;5.2;14.5;VILLA URQUIZA;COMUNA 12;ALVAREZ THOMAS AV. 3100;1431;C1431FOU
-34.596531394960614;-58.379757086022096;ALVEAR, MARCELO T. DE;900;1359;7000000;5150.8;5;14.5;RETIRO;COMUNA 1;ALVEAR, MARCELO T. DE 900;1058;C1058AAL
-34.597081643367574;-58.38693663719131;ALVEAR, MARCELO T. DE;1400;228;1100000;4824.6;5;14.5;RETIRO;COMUNA 1;ALVEAR, MARCELO T. DE 1400;1058;C1058AAV
-34.59733837592005;-58.395942386566006;ALVEAR, MARCELO T. DE;2000;616;850000;1379.9;0;14.5;RECOLETA;COMUNA 2;ALVEAR, MARCELO T. DE 2000;1122;C1122AAD
-34.57108154571654;-58.44876456265129;AMENABAR;1000;118;590000;5000;2.5;14.5;COLEGIALES;COMUNA 13;AMENABAR 1000;1426;C1426AJP
-34.56513033479009;-58.45690948439794;AMENABAR;1900;355;980000;2760.6;2.8;14.5;BELGRANO;COMUNA 13;AMENABAR 1900;1428;C1428CQB
-34.606603384577596;-58.411433403217885;ANCHORENA, TOMAS MANUEL DE, DR.;300;191;250000;1308.9;0;14.5;BALVANERA;COMUNA 3;ANCHORENA, TOMAS MANUEL DE, DR. 300;1170;C1170ACD
-34.60091764236052;-58.40926071113048;ANCHORENA, TOMAS MANUEL DE, DR.;700;146;300000;2054.8;0;14.5;BALVANERA;COMUNA 3;ANCHORENA, TOMAS MANUEL DE, DR. 700;1170;C1170ACL
-34.59966941771404;-58.40881024994831;ANCHORENA, TOMAS MANUEL DE, DR.;800;178;350000;1966.3;3.5;14.5;BALVANERA;COMUNA 3;ANCHORENA, TOMAS MANUEL DE, DR. 800;1170;C1170ACN
-34.596695922569495;-58.40747310634624;ANCHORENA, TOMAS MANUEL DE, DR.;1100;350;610000;1742.9;0;14.5;RECOLETA;COMUNA 2;ANCHORENA, TOMAS MANUEL DE, DR. 1100;1170;C1170ACT
-34.58945946418864;-58.477636603378976;ANDONAEGUI;1100;157;199000;1267.5;3;14.5;PARQUE CHAS;COMUNA 15;ANDONAEGUI 1100;1427;C1427BED
-34.58013253107967;-58.48587291986916;ANDONAEGUI;2000;235;315000;1340.4;1.2;14.5;VILLA URQUIZA;COMUNA 12;ANDONAEGUI 2000;1431;C1431DVL
-34.58013253107967;-58.48587291986916;ANDONAEGUI;2000;469;650000;1385.9;1.2;14.5;VILLA URQUIZA;COMUNA 12;ANDONAEGUI 2000;1431;C1431DVL
-34.57726644107276;-58.48910668178996;ANDONAEGUI;2300;100;420000;4200;3.5;14.5;VILLA URQUIZA;COMUNA 12;ANDONAEGUI 2300;1431;C1431DVR
;;ANTARTIDA ARGENTINA;100;7000;35000000;5000;5;14.5;;;;;
-34.60353732415749;-58.44267571033502;ANTEZANA;100;242;320000;1322.3;2;14.5;VILLA CRESPO;COMUNA 15;ANTEZANA 100;1414;C1414EEB
-34.6061709425141;-58.446441451817364;ANTEZANA;500;401;580000;1446.4;0;14.5;VILLA CRESPO;COMUNA 15;ANTEZANA 500;1414;C1414EEJ
-34.6061709425141;-58.446441451817364;ANTEZANA;500;408;1300000;3186.3;0;14.5;VILLA CRESPO;COMUNA 15;ANTEZANA 500;1414;C1414EEJ
-34.610223370966835;-58.43213509260882;ARANGUREN, JUAN F., DR.;100;281;600000;2135.2;3;14.5;CABALLITO;COMUNA 6;ARANGUREN, JUAN F., DR. 100;1405;C1405CRB
-34.61451318756152;-58.442288769131125;ARANGUREN, JUAN F., DR.;700;206;400000;1941.7;3.5;14.5;CABALLITO;COMUNA 6;ARANGUREN, JUAN F., DR. 700;1405;C1405CRN
-34.61882661032774;-58.45310364001549;ARANGUREN, JUAN F., DR.;1500;180;395000;2194.4;0;14.5;CABALLITO;COMUNA 6;ARANGUREN, JUAN F., DR. 1500;1405;C1405CSD
-34.62062878262161;-58.458335905178046;ARANGUREN, JUAN F., DR.;1900;390;600000;1538.5;3;14.5;FLORES;COMUNA 7;ARANGUREN, JUAN F., DR. 1900;1406;C1406FWH
-34.62259463971019;-58.46365384364442;ARANGUREN, JUAN F., DR.;2300;299;410000;1371.2;3.5;14.5;FLORES;COMUNA 7;ARANGUREN, JUAN F., DR. 2300;1406;C1406FWP
-34.62348347967027;-58.46651465745817;ARANGUREN, JUAN F., DR.;2500;447;600000;1342.3;2.8;14.5;FLORES;COMUNA 7;ARANGUREN, JUAN F., DR. 2500;1406;C1406FWT
-34.62797289733266;-58.482741194893045;ARANGUREN, JUAN F., DR.;3800;225;500000;2222.2;2.8;14.5;FLORESTA;COMUNA 10;ARANGUREN, JUAN F., DR. 3800;1407;C1407ELJ
-34.631756432296996;-58.49305580215124;ARANGUREN, JUAN F., DR.;4700;398;335000;841.7;1.2;14.5;VELEZ SARSFIELD;COMUNA 10;ARANGUREN, JUAN F., DR. 4700;1407;C1407EMB
-34.615533203856074;-58.43625240846812;ARAOZ ALFARO, GREGORIO, DR;400;147;365000;2483;1.4;14.5;CABALLITO;COMUNA 6;ARAOZ ALFARO, GREGORIO, DR 400;1405;C1405CID
-34.56329176576042;-58.45138740639225;ARCOS;1800;1600;2200000;1375;0;14.5;BELGRANO;COMUNA 13;ARCOS 1800;1426;C1426BGN
-34.58473638399711;-58.44685645632325;ARENAL, CONCEPCION;3600;346;500000;1445.1;1.6;14.5;CHACARITA;COMUNA 15;ARENAL, CONCEPCION 3600;1427;C1427EKD
-34.59387331075208;-58.45317687736539;ARENAL, CONCEPCION;4500;240;250000;1041.7;2;14.5;CHACARITA;COMUNA 15;ARENAL, CONCEPCION 4500;1427;C1427EKV
-34.61927682519943;-58.4770446701598;ARGERICH;1300;505;265000;524.8;3.5;14.5;VILLA SANTA RITA;COMUNA 11;ARGERICH 1300;1416;C1416AXD
-34.61419627081616;-58.48108854516078;ARGERICH;1800;290;385000;1327.6;3.5;14.5;VILLA SANTA RITA;COMUNA 11;ARGERICH 1800;1416;C1416AXN
-34.60325491459775;-58.48996437942606;ARGERICH;2900;278;320000;1151.1;1;14.5;VILLA DEL PARQUE;COMUNA 11;ARGERICH 2900;1417;C1417CSJ
-34.599123855995686;-58.493131212437795;ARGERICH;3200;242;500000;2066.1;0;14.5;VILLA DEL PARQUE;COMUNA 11;ARGERICH 3200;1417;C1417CTD
-34.54421124709866;-58.47898344755212;ARIAS;3000;150;280000;1866.7;3;14.5;SAAVEDRA;COMUNA 12;ARIAS 3000;1429;C1429DXZ
-34.584000389426095;-58.47568649186556;ARISMENDI;2600;188;310000;1648.9;3;14.5;PARQUE CHAS;COMUNA 15;ARISMENDI 2600;1427;C1427DLD
-34.584000389426095;-58.47568649186556;ARISMENDI;2600;306;550000;1797.4;3;14.5;PARQUE CHAS;COMUNA 15;ARISMENDI 2600;1427;C1427DLD
-34.58571375313826;-58.47789195272248;ARISMENDI;2800;1293;2200000;1701.5;3;14.5;PARQUE CHAS;COMUNA 15;ARISMENDI 2800;1427;C1427DLH
-34.586449475720286;-58.47884333555102;ARISMENDI;2900;156;240000;1538.5;3;14.5;PARQUE CHAS;COMUNA 15;ARISMENDI 2900;1427;C1427DLJ
-34.57348334037051;-58.455860412197474;ARREDONDO, VIRREY;3100;197;420000;2132;0;14.5;COLEGIALES;COMUNA 13;ARREDONDO, VIRREY 3100;1426;C1426EAF
-34.57698459642467;-58.45859691125807;ARREDONDO, VIRREY;3500;200;340000;1700;1.6;14.5;COLEGIALES;COMUNA 13;ARREDONDO, VIRREY 3500;1426;C1426EAN
-34.551883718144545;-58.45543121632627;ARRIBEÑOS;2800;242;750000;3099.2;3;14.5;BELGRANO;COMUNA 13;ARRIBEÑOS 2800;1428;C1428APN
-34.54430954954587;-58.461109498736505;ARRIBEÑOS;3700;110;620000;5636.4;0;14.5;NUÑEZ;COMUNA 13;ARRIBEÑOS 3700;1429;C1429BKR
;;ARROTEA;600;247;250000;1012.1;2.5;14.5;;;;;
;;ARTIGAS MANUEL DE;600;273;330000;1208.8;1.2;14.5;;;;;
;;ARTIGAS MANUEL DE;1000;372;450000;1209.7;0;14.5;;;;;
